Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply
Bitcoin (BTC),"$16,856.52",+0.03%,+0.19%,-3.72%,"$324,311,007,160","$16,844,588,914 (999,470 BTC)","19,241,256 BTC"
Ethereum (ETH),"$1,221.63",+0.03%,+0.68%,-4.36%,"$149,496,949,800","$5,523,704,431 (4,519,111 ETH)","122,373,866 ETH"
Tether (USDT),$1.00,-0.00%,-0.01%,-0.00%,"$66,247,732,832","$20,494,270,279 (20,493,851,513 USDT)","66,247,697,091 USDT"
USD Coin (USDC),$1.00,+0.01%,+0.00%,-0.01%,"$44,190,815,266","$1,865,982,252 (1,865,915,228 USDC)","44,192,171,520 USDC"
BNB (BNB),$246.76,+0.08%,+0.25%,-6.58%,"$39,465,445,744","$539,740,965 (2,187,024 BNB)","159,966,208 BNB"
Binance USD (BUSD),$1.00,-0.02%,+0.02%,+0.00%,"$17,979,339,579","$4,180,145,414 (4,179,773,750 BUSD)","17,976,932,489 BUSD"
XRP (XRP),$0.3491,-0.48%,+1.31%,-7.92%,"$17,570,830,027","$651,102,397 (1,862,746,781 XRP)","50,343,500,506 XRP"
Dogecoin (DOGE),$0.07831,-0.12%,+6.41%,-9.52%,"$10,388,153,893","$683,850,100 (8,721,579,153 DOGE)","132,670,764,300 DOGE"
Cardano (ADA),$0.2601,+0.25%,+3.13%,-13.70%,"$8,973,653,624","$212,281,703 (817,206,514 ADA)","34,496,998,077 ADA"
Polygon (MATIC),$0.7996,+0.07%,+1.46%,-10.14%,"$6,984,295,632","$207,244,846 (259,149,477 MATIC)","8,734,317,475 MATIC"
Dai (DAI),$0.9999,+0.02%,+0.02%,-0.01%,"$5,863,513,469","$170,214,207 (170,229,625 DAI)","5,863,794,857 DAI"
Polkadot (DOT),$4.52,+0.01%,+1.85%,-13.79%,"$5,193,343,478","$143,417,367 (31,758,819 DOT)","1,149,859,537 DOT"
TRON (TRX),$0.05502,-0.27%,-0.40%,-1.68%,"$5,061,748,600","$168,255,647 (3,059,995,854 TRX)","92,001,402,712 TRX"
Litecoin (LTC),$66.02,+0.02%,-0.37%,-10.17%,"$4,746,400,524","$374,865,725 (5,682,979 LTC)","71,890,293 LTC"
Shiba Inu (SHIB),$0.000008328,-0.11%,+0.34%,-6.78%,"$4,572,135,632","$100,182,830 (12,029,447,178,703 SHIB)","549,063,278,876,302 SHIB"
Solana (SOL),$11.88,-0.13%,-1.43%,-15.63%,"$4,360,175,292","$204,886,387 (17,228,624 SOL)","366,950,301 SOL"
Uniswap (UNI),$5.32,-0.15%,+0.43%,-9.20%,"$4,055,557,192","$51,784,041 (9,728,997 UNI)","762,209,327 UNI"
Avalanche (AVAX),$11.80,-0.11%,+1.16%,-10.96%,"$3,672,050,737","$98,011,367 (8,297,635 AVAX)","311,161,531 AVAX"
UNUS SED LEO (LEO),$3.70,-1.57%,-1.47%,-0.03%,"$3,528,609,624","$2,157,398 (581,986 LEO)","953,954,130 LEO"
Wrapped Bitcoin (WBTC),"$16,808.93",+0.10%,+0.05%,-3.70%,"$3,101,376,265","$97,370,525 (5,790 WBTC)","184,505 WBTC"
Chainlink (LINK),$6.02,+0.25%,+0.82%,-7.85%,"$3,057,523,692","$192,242,419 (31,936,848 LINK)","507,999,970 LINK"
Toncoin (TON),$2.42,-0.47%,-4.48%,+1.26%,"$2,952,891,086","$52,193,721 (21,732,154 TON)","1,221,401,181 TON"
Monero (XMR),$142.77,-1.11%,-3.39%,-4.31%,"$2,600,276,997","$66,375,921 (464,599 XMR)","18,217,243 XMR"
Cosmos (ATOM),$9.00,-0.08%,+1.84%,-5.29%,"$2,574,584,147","$93,044,517 (10,337,657 ATOM)","286,370,297 ATOM"
